iter	Passed	Remaining
164	601	1221
165	604	1216
166	608	1213
167	611	1208
168	617	1208
169	622	1208
170	627	1207
171	631	1204
172	635	1202
173	639	1199
174	644	1196
175	651	1199
176	656	1197
177	659	1193
178	664	1190
179	668	1187
180	672	1184
181	677	1183
182	682	1182
183	686	1179
184	690	1176
185	694	1172
186	698	1168
187	702	1165
188	706	1161
189	709	1157
190	713	1153
191	717	1150
192	721	1147
193	724	1142
194	729	1140
195	734	1139
196	738	1136
197	743	1133
198	747	1130
199	751	1127
200	755	1123
201	759	1120
202	763	1116
203	767	1113
204	772	1111
205	775	1107
206	779	1103
207	782	1099
208	788	1098
209	792	1094
210	795	1090
211	799	1085
212	802	1081
213	806	1077
214	809	1072
215	812	1068
216	817	1065
217	820	1061
218	823	1057
219	827	1052
220	830	1048
221	833	1044
222	837	1039
223	840	1035
224	844	1032
225	847	1027
226	850	1023
227	854	1019
228	857	1015
229	861	1011
230	865	1007
231	868	1003
232	871	998
233	875	995
234	879	991
235	883	988
236	886	984
237	890	980
238	893	976
239	898	973
240	901	969
241	905	965
242	908	961
243	912	956
244	915	952
245	918	948
246	922	944
247	925	940
248	929	936
249	933	933
250	937	929
251	940	925
252	944	921
253	948	918
254	952	914
255	955	910
256	958	906
257	963	903
258	966	899
259	970	896
260	973	891
261	977	887
262	980	883
263	984	880
264	987	876
265	991	871
266	994	867
267	997	863
268	1001	859
269	1004	855
270	1007	851
271	1011	847
272	1015	844
273	1018	840
274	1022	836
275	1025	832
276	1029	828
277	1033	825
278	1036	821
279	1040	817
280	1044	813
281	1048	810
282	1051	806
283	1054	802
284	1058	798
285	1062	795
286	1066	791
287	1070	787
288	1074	784
289	1078	781
290	1082	777
291	1086	773
292	1090	770
293	1094	766
294	1097	762
295	1100	758
296	1104	754
297	1107	750
298	1110	746
299	1113	742
300	1117	738
301	1121	735
302	1124	731
303	1128	727
304	1131	723
305	113305	11306	113306	11307	114307	11308	114308	11309	114309	11310	115310	11311	115311	11312	115312	11313	116313	11314	116314	11315	116315	11316	117316	11317	117317	11318	117318	11319	118319	1199	674
320	1202	670
321	1206	666
322	1209	662
323	1214	659
324	1218	655
325	1221	652
326	1225	648
327	1228	644
328	1232	640
329	1236	636
330	1240	633
331	1244	629
332	1247	625
333	1252	622
334	1255	618
335	1260	615
336	1263	611
337	1267	607
338	1271	603
339	1276	600
340	1281	597
341	1285	593
342	1289	590
343	1292	586
344	1297	582
345	1300	578
346	1304	575
347	1307	571
348	1310	567
349	1313	563
350	1317	559
351	1321	555
352	1325	551
353	1328	547
354	1332	544
355	1335	540
356	1339	536
357	1342	532
358	1346	528
359	1350	525
360	1354	521
361	1358	517
362	1361	513
363	1364	509
364	1368	506
365	1371	502
366	1375	498
367	1378	494
368	1382	490
369	1386	487
370	1389	483
371	1393	479
372	1397	475
373	1401	472
374	1404	468
375	1408	464
376	1412	460
377	1415	456
378	1419	453
379	1422	449
380	1426	445
381	1429	441
382	1433	437
383	1437	434
384	1441	430
385	1444	426
386	1448	422
387	1452	419
388	1456	415
389	1460	411
390	1466	408
391	1469	404
392	1474	401
393	1477	397
394	1482	394
395	1487	390
396	1491	386
397	1494	383
398	1498	379
399	1501	375
400	1505	371
401	1508	367
402	1512	364
403	1516	360
404	1520	356
405	1524	353
406	1528	349
407	1532	345
408	1536	341
409	1540	338
410	1543	334
411	1547	330
412	1551	326
413	1555	323
414	1560	319
415	1563	315
416	1570	312
417	1574	308
418	1578	305
419	1582	301
420	1586	297
421	1590	294
422	1594	290
423	1598	286
424	1602	282
425	1605	278
426	1609	275
427	1613	271
428	1616	267
429	1620	263
430	1624	260
431	1628	256
432	1631	252
433	1635	248
434	1639	244
435	1642	241
436	1646	237
437	1649	233
438	1653	229
439	1656	225
440	1660	222
441	1664	218
442	1668	214
443	1671	210
444	1675	207
445	1679	203
446	1683	199
447	1687	195
448	1691	192
449	1695	188
450	1699	184
451	1704	180
452	1708	177
453	1711	173
454	1716	169
455	1720	166
456	1724	162
457	1728	158
458	1732	154
459	1736	150
460	1740	147
461	1744	143
462	1748	139
463	1751	135
464	1755	132
465	1759	128
466	1764	124
467	1767	120
468	1770	117
469	1774	113
470	1779	109
471	1783	105
472	1787	102
473	1790	98
474	1794	94
475	1799	90
476	1803	86
477	1806	83
478	1810	79
479	1813	75
480	1817	71
481	1820	68
482	1824	64
483	1828	60
484	1831	56
485	1835	52
486	1839	49
487	1843	45
488	1846	41
489	1851	37
490	1855	34
491	1859	30
492	1862	26
493	1866	22
494	1872	18
495	1878	15
496	1881	11
497	1883	7
498	1886	3
499	1889	0
1884	0
	1893	0
