iter	Logloss
0	0.6668513563
1	0.6460449703
2	0.6237153504
3	0.6055629859
4	0.5889346312
5	0.5730479594
6	0.5595309993
7	0.5445461885
8	0.5317736816
9	0.5237476333
10	0.5113420857
11	0.505255055
12	0.4978657479
13	0.4881541516
14	0.4796704565
15	0.4718946418
16	0.464261152
17	0.4581314081
18	0.4507733868
19	0.4462194356
20	0.440795639
21	0.434912639
22	0.4304114519
23	0.4244128338
24	0.4197631167
25	0.4160134417
26	0.4118263781
27	0.4064932444
28	0.4027581517
29	0.3982057046
30	0.3950749321
31	0.391953717
32	0.3877773841
33	0.3851671308
34	0.3810265925
35	0.3779475213
36	0.3744804632
37	0.3710365442
38	0.3672911172
39	0.3649313074
40	0.362807464
41	0.3600684136
42	0.3587042557
43	0.3565319657
44	0.3550091845
45	0.353303102
46	0.3506069887
47	0.348503361
48	0.3467085863
49	0.3454405478
50	0.3434470767
51	0.3416683231
52	0.3395620924
53	0.3377524486
54	0.3355102014
55	0.3342699602
56	0.3320742265
57	0.330917438
58	0.3302955367
59	0.3285607043
60	0.3275753281
61	0.3263362407
62	0.3244319674
63	0.3233872531
64	0.3214536004
65	0.3199729078
66	0.3186377096
67	0.3180232939
68	0.3167362775
69	0.3149654685
70	0.3131195491
71	0.3119681224
72	0.3097443011
73	0.3081639681
74	0.3067373728
75	0.3051781667
76	0.3046018886
77	0.3037494725
78	0.3026704519
79	0.3022913352
80	0.3010903888
81	0.300392113
82	0.2995154585
83	0.2979628869
84	0.2964228641
85	0.2946529711
86	0.2939955191
87	0.2929469427
88	0.2921315504
89	0.2906829587
90	0.2886524527
91	0.2877528138
92	0.2862527054
93	0.2838668112
94	0.2817850514
95	0.2797960104
96	0.2781081642
97	0.2778160513
98	0.2764175343
99	0.2757699862
100	0.2733044843
101	0.2727649252
102	0.2716302441
103	0.2711796057
104	0.2706987708
105	0.2696251058
106	0.2694325868
107	0.2681046018
108	0.2671663758
109	0.2664628498
110	0.2656718398
111	0.2646121548
112	0.2634612526
113	0.2621556835
114	0.2602201371
115	0.2598155475
116	0.2585518439
117	0.258155103
118	0.2577777214
119	0.2565569372
120	0.2555055631
121	0.2545537105
122	0.2539621093
123	0.2535306968
124	0.2523527403
125	0.2511840141
126	0.2504752023
127	0.2494083134
128	0.2477832491
129	0.2466616194
130	0.2450531068
131	0.2438969105
132	0.2422004587
133	0.2418017163
134	0.2411598398
135	0.2400268531
136	0.2394706647
137	0.2374861273
138	0.2363395985
139	0.2350486647
140	0.234410461
141	0.2342525066
142	0.2336819309
143	0.2323260847
144	0.2321773884
145	0.2318819167
146	0.2305802812
147	0.229362917
148	0.2291079992
149	0.2276729071
150	0.2274166188
151	0.2261464356
152	0.2257315933
153	0.2250273053
154	0.2241048023
155	0.2225444771
156	0.2212938047
157	0.2203198481
158	0.2192317073
159	0.2189973732
160	0.2188479456
161	0.2180540265
162	0.2178251328
163	0.2168523089
164	0.2167258263
165	0.2154171773
166	0.2149023946
167	0.2131987567
168	0.2131204728
169	0.2117369363
170	0.2106449047
171	0.2091323983
172	0.2081123553
173	0.2079812248
174	0.2072260208
175	0.2065971658
176	0.2056803808
177	0.204748028
178	0.2036199801
179	0.2033775326
180	0.2027874488
181	0.2019803857
182	0.201288765
183	0.2011688103
184	0.1998834744
185	0.1998028014
186	0.1988521739
187	0.1983472208
188	0.1968410106
189	0.1967551061
190	0.1953459928
191	0.1952505124
192	0.1943459837
193	0.1932246814
194	0.1922012111
195	0.1920070094
196	0.1907368852
197	0.1896482526
198	0.1885605529
199	0.1872764415
200	0.1863210644
201	0.1862519664
202	0.1853704755
203	0.1841146529
204	0.1840421736
205	0.183203452
206	0.1821232207
207	0.1812936021
208	0.1804004399
209	0.1803353316
210	0.1792797629
211	0.1784495862
212	0.1779299982
213	0.1772445111
214	0.1762460531
215	0.1756679997
216	0.1755397443
217	0.1754706261
218	0.174466565
219	0.1736734947
220	0.173248993
221	0.1723902681
222	0.1707131982
223	0.1706175283
224	0.1693895681
225	0.1693294947
226	0.168850923
227	0.1674722826
228	0.1665865779
229	0.166522428
230	0.1654894308
231	0.1654350984
232	0.1651552603
233	0.1639333301
234	0.1626320259
235	0.1619101437
236	0.1611795362
237	0.1611207615
238	0.1604032676
239	0.1595307564
240	0.1589483105
241	0.1588890565
242	0.158092169
243	0.1570878113
244	0.1565634469
245	0.1556686421
246	0.1549906014
247	0.154932838
248	0.1548810901
249	0.1541509161
250	0.1532691432
251	0.1527510639
252	0.1517490912
253	0.1509148883
254	0.15021503
255	0.1497380302
256	0.1492399519
257	0.1492039204
258	0.1483301413
259	0.1470173545
260	0.1469736098
261	0.1469162261
262	0.1466793367
263	0.1462180839
264	0.1457297675
265	0.1452070849
266	0.1445906041
267	0.1437108348
268	0.1436694377
269	0.1428918313
270	0.1423908301
271	0.1416252207
272	0.1415834418
273	0.1409735824
274	0.1399055465
275	0.1391802548
276	0.138739709
277	0.1378665099
278	0.1372603349
279	0.1372285494
280	0.1371791327
281	0.1367708047
282	0.1361424783
283	0.1361080769
284	0.1357148766
285	0.1356833482
286	0.1350794597
287	0.1346736623
288	0.1337467604
289	0.1328858933
290	0.1328558678
291	0.132427219
292	0.1323972758
293	0.1317189012
294	0.1305072973
295	0.1300358375
296	0.1299926419
297	0.129963492
298	0.1295525234
299	0.1291274297
300	0.1283166548
301	0.1271470592
302	0.126532093
303	0.125759202
304	0.1252647269
305	0.124305	0.11306	0.124306	0.11307	0.123307	0.11308	0.123308	0.11309	0.122309	0.11310	0.122310	0.11311	0.12311	0.111312	0.12312	0.11313	0.121313	0.11314	0.120314	0.11315	0.12315	0.10316	0.120316	0.10317	0.119317	0.10318	0.119318	0.10319	0.119319	0.1080100482
320	0.1076443097
321	0.1076037561
322	0.1071630473
323	0.1067490019
324	0.1060932081
325	0.105449803
326	0.1050473747
327	0.104489025
328	0.1044524389
329	0.1040101181
330	0.103650775
331	0.1031092207
332	0.1028654424
333	0.1022441057
334	0.1021837184
335	0.1018350777
336	0.1012811536
337	0.1010852541
338	0.1006638909
339	0.1005668558
340	0.1000510732
341	0.09930344104
342	0.09900244089
343	0.098461222
344	0.09802784358
345	0.09763509143
346	0.09713903586
347	0.09711760809
348	0.09671066891
349	0.09616974564
350	0.095720987663351	0.095367965835352	0.094866653354353	0.0944738355	0354	0.093911356	0.355	0.09389357	0.1356	0.0938358	0.10357	0.09359	0.1027358	0.0360	0.10270359	0.361	0.102318360	0362	0.1016724361	363	0.10106938362364	0.10104233736365	0.10070827543366	0.1001444382
367	0.09953207179
368	0.099062944553369	0.098566003036370	0.097872765836371	0.097505671037372	0.0972418007371	0.08938094294
372	0.08935922362
373	0.0890762256
374	0.08874427171
375	0.08837422233
376	0.08800525928
377	0.08758052394
378	0.08755055796
379	0.08706339292
380	0.08678190618
381	0.08641041356
382	0.0858539824
383	0.08533515757
384	0.0850463866
385	0.08484446166
386	0.08448041371
387	0.08399875102
388	0.08354576965
389	0.08326437439
390	0.08288737079
391	0.08263016668
392	0.08234926274
393	0.08196585025
394	0.08147925224
395	0.0811395212
396	0.08111648353
397	0.08075309558
398	0.08047456807
399	0.08009562391
400	0.07969415559
401	0.07967375071
402	0.07933984892
403	0.07906889386
404	0.07905557886
405	0.07888570543
406	0.07856831301
407	0.07833562485
408	0.07798400339
409	0.07768944683
410	0.07728543823
411	0.07694870806
412	0.0766678295
413	0.07640976106
414	0.07614152154
415	0.07612022841
416	0.07591969011
417	0.07564949956
418	0.07545382487
419	0.07543160718
420	0.07520288309
421	0.07485831822
422	0.07471705216
423	0.07455891305
424	0.07453500358
425	0.07431710051
426	0.07410430124
427	0.07389568729
428	0.07359175646
429	0.07333446314
430	0.07300257945
431	0.07298196568
432	0.07275241671
433	0.07248751057
434	0.07247636061
435	0.07229496043
436	0.0722844716
437	0.07218508604
438	0.07199795208
439	0.07197919636
440	0.07158951563
441	0.07137919884
442	0.07108726579
443	0.07105597828
444	0.07073858769
445	0.07060426664
446	0.07039284376
447	0.07018604724
448	0.07016149889
449	0.07015203671
450	0.06993008092
451	0.06991659335
452	0.06989967035
453	0.06968299449
454	0.06948250518
455	0.06924010875
456	0.06896069252
457	0.0688286828
458	0.06872667009
459	0.06834532358
460	0.06820865533
461	0.06782535852
462	0.06771947281
463	0.06745625696
464	0.06743102547
465	0.06737923338
466	0.06718662278
467	0.06716089804
468	0.0669033204
469	0.06641848407
470	0.0662423495
471	0.0658670433
472	0.06562748583
473	0.06520726974
474	0.06501544212
475	0.06491169308
476	0.06471859093
477	0.06458759694
478	0.06438699161
479	0.0641151746
480	0.06381844173
481	0.06356107349
482	0.06352473893
483	0.06331697986
484	0.06314119465
485	0.06303844961
486	0.06293389512
487	0.06279842106
488	0.06260740978
489	0.0623754192
490	0.06219719591
491	0.06194228222
492	0.06177387613
493	0.0617294799
494	0.06156811229
495	0.06123939472
496	0.06104426087
497	0.06091814338
498	0.06071624756
499	0.06070195428
708625815
